biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
427,1121,902,1688,XL
416,1060,882,1751,L
421,1102,857,1808,L
398,1033,862,1818,M
420,1099,930,1722,L
431,1176,982,1729,XL
425,1062,829,1740,L
402,1036,771,1674,M
412,1100,903,1742,L
420,1092,880,1777,L
441,1158,1043,1780,XL
406,939,633,1600,S
417,1050,797,1781,M
456,1257,1247,1808,3XL
419,1010,759,1777,M
416,1047,900,1787,M
412,1048,825,1825,M
430,1106,932,1798,L
400,951,699,1770,S
382,964,723,1733,S
421,1120,974,1787,L
413,997,684,1613,M
423,1108,961,1779,L
424,1086,938,1734,L
394,942,601,1618,S
439,1213,1026,1745,2XL
427,1168,941,1718,XL
400,975,756,1772,S
445,1161,1095,1797,XL
389,930,669,1699,S
408,1061,817,1707,M
406,1015,691,1708,M
404,1004,836,1787,M
384,944,678,1750,S
433,1083,950,1742,L
416,1064,824,1771,L
425,1052,899,1723,L
429,1070,822,1694,L
414,1013,786,1733,M
428,1088,766,1677,L
403,968,667,1758,S
417,1009,778,1761,M
434,1147,882,1774,XL
400,1037,846,1714,M
443,1192,1014,1754,2XL
416,1111,854,1727,L
429,1153,990,1756,XL
410,1093,822,1756,L
421,1063,876,1774,L
428,1084,788,1711,L
418,1010,697,1635,M
416,1069,806,1706,L
406,1056,861,1771,M
431,1133,949,1831,XL
443,1114,971,1826,XL
412,1105,897,1795,L
402,1028,780,1782,M
410,1097,872,1745,L
379,990,717,1785,S
403,1025,732,1661,M
454,1191,1075,1784,2XL
414,1054,813,1773,L
410,1080,846,1725,L
426,1089,844,1699,L
403,983,747,1773,S
423,1092,784,1734,L
423,1099,1014,1804,L
415,991,796,1765,M
418,1058,858,1871,L
395,988,800,1750,S
442,1113,1054,1904,XL
424,1122,903,1727,XL
426,1086,925,1788,L
446,1157,1083,1794,XL
427,1137,1074,1806,XL
419,1048,933,1783,M
429,1161,1107,1843,XL
437,1153,959,1729,XL
411,1037,900,1828,M
418,1064,809,1715,L
417,1093,872,1783,L
416,1063,954,1761,L
427,1129,958,1722,XL
450,1207,1024,1780,2XL
421,1073,846,1768,L
427,1150,1003,1791,XL
400,1048,871,1800,M
423,1090,809,1747,L
443,1196,1171,1905,2XL
426,1078,882,1671,L
399,1012,749,1669,M
401,956,710,1801,S
411,1059,844,1707,L
425,1117,904,1717,XL
426,1059,909,1780,L
433,1130,939,1716,XL
452,1193,1097,1778,2XL
403,977,669,1704,S
427,1072,856,1783,L
406,1027,818,1794,M
428,1163,1046,1831,XL
415,1045,905,1867,M
411,1056,856,1794,L
430,1126,1036,1821,XL
411,1094,873,1779,L
443,1118,926,1802,XL
418,1026,846,1783,M
408,1060,878,1853,M
411,1099,816,1709,L
411,1054,895,1855,L
418,1070,882,1765,L
410,1101,890,1764,L
413,1015,795,1760,M
407,1033,734,1734,M
429,1113,959,1758,XL
404,1038,791,1740,M
432,1125,851,1739,XL
398,1028,802,1774,M
398,1043,828,1728,M
415,1022,779,1710,M
441,1178,1055,1791,2XL
421,1076,898,1794,L
425,1114,937,1853,XL
441,1143,887,1712,XL
426,1057,797,1777,L
442,1186,1064,1717,2XL
394,999,810,1782,S
404,1027,808,1782,M
401,1007,725,1750,M
420,1003,766,1793,M
400,1027,766,1706,M
442,1143,1047,1794,XL
413,1052,797,1700,L
417,1094,874,1659,L
416,1021,767,1755,M
414,1087,845,1677,L
436,1166,987,1767,XL
402,1047,857,1751,M
426,1148,1045,1769,XL
405,1051,893,1736,M
425,1132,1032,1873,XL
445,1163,890,1717,XL
452,1243,1056,1706,3XL
418,1074,843,1761,L
404,993,746,1660,M
391,940,597,1665,S
420,1024,826,1773,M
428,1151,907,1735,XL
413,1017,685,1693,M
418,1042,829,1775,M
403,1023,775,1766,M
365,872,597,1682,XS
426,1168,1016,1737,XL
441,1213,1119,1863,2XL
406,1035,828,1836,M
412,1037,851,1730,M
430,1099,1047,1950,L
401,1038,781,1637,M
414,1066,984,1796,L
403,1048,761,1692,M
407,1003,764,1624,M
442,1142,868,1686,XL
417,1046,801,1744,M
411,1067,861,1713,L
392,964,630,1711,S
438,1214,1156,1817,2XL
431,1168,1053,1847,XL
397,928,678,1724,S
388,976,703,1717,S
417,1072,895,1833,L
410,1008,758,1741,M
426,1072,906,1824,L
401,937,720,1766,S
423,1106,1048,1821,L
413,1052,866,1832,L
399,1047,849,1844,M
419,1106,823,1790,L
411,1045,788,1734,M
406,993,649,1665,M
449,1219,1024,1890,2XL
409,1006,774,1737,M
427,1116,891,1856,XL
432,1145,953,1772,XL
436,1143,1134,1924,XL
420,1108,924,1852,L
434,1133,975,1833,XL
398,991,826,1733,M
432,1153,1112,1745,XL
