biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
354,890,526,1632,M
360,920,557,1606,M
370,1003,759,1625,L
362,988,697,1674,L
367,912,614,1563,M
393,1027,742,1728,XL
365,995,671,1590,L
375,972,803,1655,L
366,891,681,1676,M
367,998,734,1633,L
376,983,672,1607,L
351,923,493,1570,M
364,988,733,1642,L
366,936,729,1675,L
367,920,631,1607,M
351,904,666,1686,M
355,865,667,1640,S
343,864,497,1563,S
351,848,558,1591,S
366,937,695,1670,L
357,860,603,1616,S
352,945,642,1510,M
392,1076,843,1679,2XL
350,863,470,1629,S
366,983,717,1654,L
350,845,532,1546,S
375,990,747,1676,L
357,924,622,1585,M
357,899,574,1594,M
365,972,646,1581,L
333,855,529,1614,S
366,947,648,1559,L
377,967,751,1697,L
387,1026,740,1674,XL
378,1018,758,1692,XL
344,849,554,1615,S
343,874,503,1531,S
351,821,601,1598,S
352,922,616,1611,M
350,848,589,1569,S
366,962,706,1666,L
353,931,628,1571,M
340,795,503,1618,XS
352,910,599,1610,M
387,1050,831,1729,XL
363,964,622,1593,L
369,973,706,1609,L
367,917,667,1648,M
368,953,730,1631,L
392,1032,842,1712,XL
336,799,549,1541,XS
369,990,670,1614,L
383,999,771,1658,XL
366,935,668,1642,L
377,1045,757,1648,XL
372,990,857,1756,L
356,922,678,1651,M
361,893,630,1634,M
363,925,646,1565,M
329,805,444,1537,XS
357,941,696,1649,M
355,904,707,1558,M
375,937,643,1688,L
394,1031,853,1752,XL
404,1053,837,1710,2XL
362,945,621,1614,L
359,915,614,1617,M
353,853,544,1596,S
333,875,603,1602,S
373,1021,792,1694,XL
361,995,603,1534,L
399,1127,885,1634,3XL
379,1038,842,1679,XL
353,908,634,1658,M
336,870,561,1643,S
349,877,505,1518,S
388,1035,835,1659,XL
325,807,463,1570,XS
397,1145,1019,1702,3XL
349,915,645,1627,M
331,837,528,1594,S
354,913,623,1617,M
335,860,527,1579,S
374,1045,721,1608,XL
350,932,589,1656,M
355,854,620,1630,S
346,893,543,1545,S
340,867,648,1688,S
353,866,643,1647,S
381,957,736,1637,L
366,946,647,1576,L
383,937,746,1743,L
362,965,705,1649,L
390,1045,868,1674,XL
383,935,673,1561,L
340,802,516,1587,XS
379,1005,757,1685,XL
375,1048,717,1569,XL
360,915,738,1656,M
360,920,769,1672,M
377,1045,740,1666,XL
340,847,626,1630,S
373,968,808,1789,L
370,902,631,1598,M
374,1001,638,1568,XL
374,954,698,1676,L
351,826,489,1567,S
365,931,650,1617,M
365,913,679,1660,M
365,920,618,1596,M
372,951,712,1649,L
360,921,643,1590,M
371,935,793,1630,L
365,979,686,1590,L
392,1053,765,1687,2XL
361,887,590,1613,M
370,964,626,1648,L
361,978,688,1719,L
377,981,707,1662,L
355,945,685,1612,M
355,836,571,1605,S
363,943,672,1662,L
362,924,692,1620,M
358,861,644,1596,S
359,908,683,1702,M
352,852,582,1745,S
352,861,532,1599,S
381,985,703,1628,L
339,886,569,1592,S
353,918,648,1627,M
380,949,652,1617,L
353,830,548,1582,S
351,900,577,1640,M
358,934,790,1675,M
364,996,671,1592,L
365,943,620,1566,L
332,885,626,1580,S
